companyName	companyMajor	companyWorkAuth	companyPositionType	companyDetailLink	companyDetailLink-href	companyDetailDescription	companyDetailIndustry	companyDetailAddress	companyDetailWebsite	companyDetailWebsite-href	topCareerFair	topCareerFair-href	showAllLink	showAllLink-href
ExxonMobil	"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering"	US Citizen	"Full Time, Co-op, Internship/Externship"	ExxonMobil	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=b371061e584fe7501dfb03836db97176&cf=9949037272fc0e6b7c9c1e9d8287e24c&cfc=694510576a0197dcc2118cd41162bae0&sss=	"ExxonMobil is the world's largest publicly traded international oil and gas company.  An industry leader in almost every aspect of the energy and petrochemical business, we operate facilities or market products in most of the world's countries, and explore for oil and natural gas on six continents.  ExxonMobil is involved in the exploration and production of crude oil and natural gas: the manufacture of petroleum products; and the transportation and sales of crude oil, natural gas, and petroleum products.  ExxonMobil is a major manufacturer and marketer of commodity and specialty petrochemicals and also has interests in electric power generation facilities. In addition, we conduct extensive research programs in support of these businesses."	"Construction, Energy/Utilities, Engineering - Chemical, Engineering - Civil, Engineering - Electrical, Engineering - Mechanical, Environmental, Manufacturing"	null	Website	http://www.exxonmobil.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
United Consulting	Civil Engineering	US Citizen	"Full Time, Internship/Externship"	United Consulting	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=de5b143665f832f9485cf555b5336b55&cf=ec67ab1982b1c3ab86890c59e8f66fde&cfc=694510576a0197dcc2118cd41162bae0&sss=	"United Consulting is an Indiana owned full service engineering design company which was established in 1965. United's clientele includes Federal, State, County, City and Town governments, as well as other utility clients throughout the State of Indiana.  Our continuing goal is to achieve a level of excellence that is reflected in our work.  The combination of our quality service, superb employees, unquestionable integrity and effective communication puts United in a position to exceed our clients' expectations.  United Consulting was named ""Best Places to Work in Indiana"" by the Indiana Chamber of Commerce for the eighth year in a row (2008 - 2015).   This achievement conveys that our staff likes where they work and the jobs that they get to work on."	Engineering - Civil	null	Website	http://www.ucindy.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"Kimley-Horn & Associates, Inc."	"Civil Engineering, Environmental Engineering-GR Only"	"US Citizen, Permanent Resident"	"Full Time, Internship/Externship"	"Kimley-Horn & Associates, Inc."	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=34ef56d1fa1a15addb13bd3f0d2a6173&cf=0431344c10172f99d9cb9d88151a8e74&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Ranked as one of Fortune Magazine’s “100 Best Companies to Work For” and ""100 Best Workplaces for Millennials,"" Kimley-Horn prides itself on hiring high-achieving, dedicated, and reliable professionals. With staff in over 70 offices, we offer consulting services to the private and public sectors in a wide range of disciplines: land development, transportation planning, traffic operations, roadway design, structures, water resources, environmental, aviation, transit and intelligent transportation systems, and urban redevelopment."	Engineering - Civil	null	Website	http://www.kimley-horn.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Caterpillar Inc.	"Chemical Engineering, Civil Engineering, Computer Science, Electrical and Computer Engineering, Electrical Engineering, Engineering Physics, Mechanical Engineering, Physics"	"US Citizen, Permanent Resident"	"Full Time, Internship/Externship"	Caterpillar Inc.	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=0db5c2d6010242d76db9d82f469fd2f6&cf=85a54944dd9b6a308ede402af60211be&cfc=694510576a0197dcc2118cd41162bae0&sss=	"For 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent. Customers turn to Caterpillar to help them develop infrastructure, energy and natural resource assets. With 2014 sales and revenues of $55.184 billion, Caterpillar is the world’s leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The company principally operates through its three product segments - Resource Industries, Construction Industries and Power Systems - and also provides financing and related services through its Financial Products segment. For more information, visit caterpillar.com. To connect with us on social media, visit caterpillar.com/social-media."	Manufacturing	null	Website	http://www.caterpillar.com/careers/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
G&W Electric	"Electrical and Computer Engineering, Electrical Engineering, Mechanical Engineering"	US Citizen	"Full Time, Internship/Externship"	G&W Electric	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=c6383e114c8caa504e64ed0e4de112cc&cf=d4d3903e52031719ba431ad43b6f2ee6&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Engineering Our Future…Together

 

Why join us? G&W enjoys a long reputation for product quality, innovation and world-class customer service to the power industry. We have established this reputation by believing that our greatest asset is our employees. As a global organization and industry leader, we are committed to cultivating an engaging work environment that embraces our core values and develops our talent. Our continuous focus on growth and innovation means that you become part of a company that provides challenging opportunities, promotes an entrepreneurial work environment and rewards excellence. 



To search G&W career opportunities you can visit us at http://www.gwelec.com/careers.html"	Energy/Utilities	null	Website	http://www.gwelec.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
"MS Consultants, inc."	Civil Engineering	"US Citizen, Permanent Resident"	"Full Time, Internship/Externship"	"MS Consultants, inc."	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=8e337f514e426c727dff42f084848800&cf=62598eb327677e67125da26bebbe7344&cfc=694510576a0197dcc2118cd41162bae0&sss=	"We are proud to be an award-winning engineering, architectural, planning and environmental consulting firm, annually ranking within ENR's Top 500 Design Firms. Known since 1963 for providing quality design solutions, we offer comprehensive and innovative planning, management, design and analysis for public and private clients. With 10 offices located in Ohio, Pennsylvania, Indiana, West Virginia and North Carolina, our technical personnel meet clients' national and local needs by providing expertise in various engineering, architectural and planning specialties"	Engineering - Civil	null	Website	http://www.msconsultants.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Milwaukee Tool	"Electrical and Computer Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering"	US Citizen	"Full Time, Internship/Externship"	Milwaukee Tool	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=95055016ccc2d171a35deeed4e6783ec&cf=399e823b0d1987ce9633d9607499bddb&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Since the company began in 1924, Milwaukee Tool has led the industry in both durability and performance. With an unwavering commitment to the trades, Milwaukee continues to lead with a focus on providing innovative, trade-specific solutions.  Whether it is through their leadership in LITHIUM-ION technology, as seen in the M12™, M18™ & M28™ Systems, time-saving accessories or innovative hand tool products,  Milwaukee is dedicated to delivering a steady stream of advanced solutions for the trades that offer increased productivity and unmatched durability."	"Computer Science/Software Engineering, Engineering - Computer, Engineering - Electrical, Engineering - Mechanical, Supply Chain"	null	Website	http://www.milwaukeetool.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
IEA Renewable Energy	"Civil Engineering, Electrical Engineering"		"Full Time, Internship/Externship"	IEA Renewable Energy	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=8bff8e778e36202fa92b867a5f7414f3&cf=3fbcef3bd3763862e1fb39ebe0204d6e&cfc=694510576a0197dcc2118cd41162bae0&sss=	"We are a strong team of innovative leaders in the self-performed construction industry that focus on building the essential infrastructure of energy requirements needed for the future – today. 

With advancing technologies and construction methods, wind power is becoming the cost-efficient solution for North America’s ever-increasing demand for energy production. Powered by innovation processes and scheduling, we manage wind projects on time, even in the most challenging environments, while achieving an impeccable safety record. We deliver a full spectrum of service options, including full engineering, procurement, and construction (EPC), turnkey, design-build, balance of plant (BOP) and subcontracting services."	"Construction, Engineering - Civil, Engineering - Electrical, Engineering - Mechanical, Environmental"	null	Website	http://www.iea.net/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Groupon	"Computer Science, Software Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Full Time, Internship/Externship"	Groupon	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=922f8cb219426e62ff0fe91c66dbd1ba&cf=b7affbebe8f51f5950c01f857169b346&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Groupon provides a global marketplace where people can buy just about anything, anywhere, anytime. We're enabling real-time commerce across an expanding range of categories including local businesses, travel destinations, consumer products, and live or lively events. At the same time, we are providing advertising options and tools that merchants can use to grow and manage their businesses. Culturally, we believe that great people make great companies and that starting with the customer and working backward moves us forward. Community matters to us on an internal, local and global scale?it's fundamental to our company's growth and to the well-being of the world at large. We also value self-awareness, candor, lunch and WiFi. If we match with you, please apply to join us."	"Computer Science/Software Engineering, Engineering - Computer"	null	Website	https://jobs.groupon.com/university/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
Apache Corporation	"Chemical Engineering, Civil Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	Internship/Externship	Apache Corporation	https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=2571a431b2faee93904cc233ed43ea22&cf=75934b743e76eba3d9a1d1e274548c35&cfc=694510576a0197dcc2118cd41162bae0&sss=	"Apache Corporation is one of the leading independent oil and gas exploration and production companies with worldwide operations. Apache's skilled professionals are committed to teamwork, equipped with the latest technology and focused on the company's growth.  Whether you join Apache as an intern or as a full time hire, you will learn by getting real work experience and will gain responsibility quickly. You will work alongside some of the best in the industry who will share their knowledge and experience with you."	"Energy/Utilities, Engineering - Chemical, Engineering - Mechanical, Environmental"	null	Website	http://www.apachecorp.com/	2015 Fall Career Fair	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0	[show all]	https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0&__paging=0
