Company Name	Majors Recruited	Work Authorization Desired	Position Types	Table
Addenda/PAG Holdings	Chemical Engineering, Chemistry	US Citizen, Permanent Resident	Internship/Externship, Co-op	5
ADVICS Manufacturing Indiana, LLC	Electrical Engineering, Electrical and Computer Engineering	US Citizen	Full Time	37
ArcelorMittal USA	Civil Engineering, Electrical Engineering	US Citizen, Permanent Resident	Full Time	13
Boston Scientific	Math, Computer Science, Chemical Engineering, Electrical Engineering, Mechanical Engineering, Computer Engineering, Biomedical Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time	54
Clarke Engineering Services/Acquire Automation	Chemical Engineering, Electrical Engineering, Computer Engineering	US Citizen	Internship/Externship, Full Time, Co-op	8
Crown Equipment Corporation	Mechanical Engineering	US Citizen, Permanent Resident	Full Time	56
CSN, LLC	Electrical Engineering, Mechanical Engineering	US Citizen, Permanent Resident	Internship/Externship	38
Delta Technologies	Electrical Engineering, Computer Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time	35
Detroit Stoker Company	Mechanical Engineering	US Citizen, Permanent Resident	Full Time, Co-op	57
DIGIOP (Observint Technologies, Inc.)	Software Engineering	US Citizen, Permanent Resident	Internship/Externship, Part Time	63
Ellison Surface Technologies	Electrical Engineering, Mechanical Engineering	US Citizen	Internship/Externship, Co-op	39
Epic	Math, Computer Science, Biology, Chemical Engineering, Chemistry, Electrical Engineering, Computer Engineering, Biomedical Engineering, Physics, Software Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa	Full Time	53
Fathom Voice	Computer Science, Computer Engineering, Software Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time	19
Firestone Industrial Products	Chemical Engineering, Electrical Engineering, Mechanical Engineering	US Citizen, Permanent Resident	Full Time	9
Fleece Performance Engineering	Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering	US Citizen	Volunteer, Internship/Externship, Full Time, Part Time, Co-op	45
General Electric	Electrical Engineering, Mechanical Engineering, Computer Engineering	US Citizen	Co-op	43
Google, Inc.	Software Engineering, Computational Science	US Citizen, H-1 Visa	Full Time	65
Greenlee Textron	Electrical Engineering, Mechanical Engineering, Software Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time, Co-op	46
greenlight.guru	Computer Science, Software Engineering, International Computer Science	US Citizen, Permanent Resident	Internship/Externship, Full Time, Co-op	33
Grote Industries	Electrical Engineering, Mechanical Engineering, Computer Engineering, Optical Engineering	US Citizen	Internship/Externship, Full Time	44
HBM, Inc	Computer Science, Computer Engineering, Software Engineering, Electrical and Computer Engineering, Computational Science	US Citizen	Full Time, Part Time, Co-op	23
Highway Machine Company, Inc. (HMC)	Mechanical Engineering	US Citizen	Internship/Externship, Full Time, Part Time	58
Horner Electric, Inc.	Electrical Engineering, Computer Engineering, Electrical and Computer Engineering	US Citizen	Internship/Externship, Full Time, Part Time	36
Indiana Department of Transportation (INDOT)	Civil Engineering	US Citizen	Internship/Externship, Full Time, Part Time	10
Indiana Legislative Services Agency	Computer Science, Software Engineering	US Citizen	Internship/Externship, Full Time	31
INdigital telecom	Software Engineering	None	Internship/Externship, Full Time	64
Ingram Micro Mobility - North America	Economics, Computer Science, Mechanical Engineering, Computer Engineering, Software Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time	34
Ivani, LLC	Electrical Engineering, Software Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident	Full Time	49
John Crane Inc.	Mechanical Engineering	US Citizen, Permanent Resident	Full Time	59
KINZE Manufacturing, Inc.	Electrical Engineering, Mechanical Engineering, Software Engineering, Electrical and Computer Engineering	US Citizen	Internship/Externship, Co-op	47
Knauf Insulation	All Majors	US Citizen, Permanent Resident	Volunteer, Internship/Externship, Full Time, Part Time, Co-op	1
Kohler Engines	Mechanical Engineering	US Citizen, Permanent Resident, H-1 Visa	Co-op	60
L-3 Communications Cincinnati Electronics	Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Applied Optics, Optical Engineering, Software Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time, Co-op	26
LGS Innovations	Computer Science, Mechanical Engineering, Computer Engineering, Physics, Electrical and Computer Engineering	US Citizen	Internship/Externship, Full Time	29
LHP	Electrical Engineering, Mechanical Engineering, Software Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa	Internship/Externship, Full Time, Part Time, Co-op	48
LifeShare Technologies	Computer Science, Software Engineering	US Citizen	Internship/Externship, Full Time	32
Metron, Inc.	Math, Computational Science	US Citizen	Internship/Externship, Full Time	52
MS Consultants, inc.	Civil Engineering	US Citizen, Permanent Resident	Internship/Externship, Full Time	11
MTD Products, Autonomous Lawn and Garden Division	Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Optical Engineering, Software Engineering, Electrical and Computer Engineering	US Citizen, Permanent Resident	Internship/Externship, Co-op	27
Nidec Motor Corporation	Electrical Engineering, Mechanical Engineering	US Citizen	Internship/Externship, Part Time	40
North American Lighting, Inc. (NAL)	Mechanical Engineering	None	Full Time	61
ProTrans International	Computer Science, Computer Engineering, Software Engineering, Computational Science	US Citizen, Permanent Resident	Full Time	22
QuEST Global Services - NA, Inc.	Electrical Engineering, Mechanical Engineering	US Citizen, Permanent Resident	Full Time	41
Real Time Logic (RT Logic)	Computer Science, Electrical Engineering, Computer Engineering, Electrical and Computer Engineering	US Citizen	Internship/Externship	24
