Company Name	Majors Recruited	Work Authorization Desired	Position Types
AI International	"Electrical Engineering, Mechanical Engineering"	US Citizen	"Full Time, Part Time, Co-op"
Aircom Manufacturing/Medivative Technologies	Biomedical Engineering	US Citizen	Internship/Externship
Aisin USA	"Chemical Engineering, Electrical Engineering, Mechanical Engineering"	US Citizen	"Internship/Externship, Full Time"
AK Steel Corporation	"Computer Science, Chemical Engineering, Electrical Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Alcoa Power & Propulsion	"Computer Science, Electrical Engineering, Mechanical Engineering"		"Internship/Externship, Full Time"
"Allegient, LLC"	"Computer Science, Software Engineering"	"US Citizen, Permanent Resident, F-1 Student Visa"	"Internship/Externship, Full Time"
Alliant Energy	"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Allstate Insurance Corporation		"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
AM General LLC	Mechanical Engineering	US Citizen	Full Time
Amazon.com	Computational Science	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Internship/Externship, Full Time, Part Time, Co-op"
Ambu	"Mechanical Engineering, Biomedical Engineering"		Internship/Externship
Appriss	Computational Science	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time, Part Time"
ArcelorMittal USA	Electrical Engineering	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Archer Daniels Midland Company (ADM)	"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident, J-1 Student Visa"	"Internship/Externship, Full Time, Co-op"
Bastian Solutions	"Computer Science, Engineering Management-GR Only, Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering"	"US Citizen, Permanent Resident"	Full Time
Belcan Engineering	"Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering"	"US Citizen, Permanent Resident"	Full Time
"Belden, inc."	"Chemical Engineering, Electrical Engineering"	"US Citizen, Permanent Resident"	Full Time
"Bill Austin & Associates, Inc."	"Chemical Engineering, Engineering Management-GR Only, Electrical Engineering, Mechanical Engineering, Computer Engineering, Physics, Software Engineering, Engineering Physics, Electrical and Computer Engineering, Syst Engr & Mgmt Internat'l"	"US Citizen, Permanent Resident"	Full Time
Brinkmann Constructors	"Civil Engineering, Engineering Management-GR Only"		"Internship/Externship, Full Time, Co-op"
Caterpillar Inc.	"Electrical Engineering, Mechanical Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
ChalkLabs	"Math, Computer Science, Computer Engineering, Physics"	"US Citizen, Permanent Resident"	"Full Time, Part Time"
Clarity Solution Group	"Math, Computer Science, Civil Engineering, Chemistry, Computer Engineering, Physics, Software Engineering, Engineering Physics, Computational Science"	US Citizen	Full Time
Clarke Engineering Services/Acquire Automation	"Chemical Engineering, Electrical Engineering, Mechanical Engineering, Biomedical Engineering, Electrical and Computer Engineering"	US Citizen	Full Time
Closure Systems International (CSI)	"Chemical Engineering, Mechanical Engineering"	None	"Internship/Externship, Full Time, Co-op"
Digital Insight	"Computer Science, Computer Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Internship/Externship, Full Time"
Direct Supply	"Computer Science, Software Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Doxpop	"Computer Science, Software Engineering"	"US Citizen, Permanent Resident, H-1 Visa"	"Internship/Externship, Full Time"
Duke Energy Corporation	"Civil Engineering, Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Co-op"
Electric Power Systems	Electrical Engineering	None	Full Time
Epic	All Majors	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa"	"Internship/Externship, Full Time"
Exelis - Geospatial Systems	"Electrical Engineering, Mechanical Engineering, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	US Citizen	"Internship/Externship, Full Time, Part Time, Co-op"
"Expedia, Inc."	"Computer Science, Electrical Engineering, Computer Engineering, Electrical and Computer Engineering, International Computer Science"	None	Internship/Externship
Extension Healthcare	"Computer Science, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
First Databank	"Computer Science, Computer Engineering, Software Engineering"	"US Citizen, Permanent Resident"	Full Time
"FitzMark, Inc."	"Computer Science, Computer Engineering, Software Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Internship/Externship, Co-op"
"Franklin Electric Co., Inc."		"US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa, J-1 Student Visa"	"Internship/Externship, Full Time"
"Frito-Lay North America-Frankfort, IN"		"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Garmin International	"Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering"		"Internship/Externship, Full Time"
General Electric	"Electrical Engineering, Mechanical Engineering"	US Citizen	Co-op
Gentex Corporation	"Computer Science, Electrical Engineering, Mechanical Engineering, Computer Engineering, Electrical and Computer Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time"
Gerdau	"Civil Engineering, Electrical Engineering, Mechanical Engineering, Optical Engineering"	US Citizen	Full Time
Greenlee Textron	"Electrical Engineering, Mechanical Engineering"	"US Citizen, Permanent Resident"	"Internship/Externship, Full Time, Co-op"
GSI Group	Mechanical Engineering	"US Citizen, Permanent Resident"	Internship/Externship
