Location	Table Number	Table Width
1	47	1
2	48	1
3	49	1
4	50	1
5	51	1
6	52	1
7	53	1
8	54	1
9	55	1
10	56	1
11	57	1
12	58	1
13	59	1
14	60	1
15	61	1
16	62	1
17	46	1
18	45	1
19	44	1
20	43	1
21	42	1
22	41	1
23	40	1
24	39	1
25	38	1
26	37	1
27	36	1
28	35	1
29	34	1
30	33	1
31	32	1
32	31	1
33	17	2
34	18	1
35	19	1
36	20	1
37	21	1
38	22	1
39	23	1
40	24	1
41	25	1
42	26	1
43	27	1
44	28	1
45	29	1
46	30	2
47	16	1
48	15	1
49	14	1
50	13	1
51	12	1
52	11	1
53	10	1
54	9	1
55	8	1
56	7	1
57	6	1
58	5	1
59	4	1
60	3	1
61	2	1
62	1	1
63	63	1
64	64	1
65	65	1
66	66	1
67	67	1
68	68	1
69	69	1
70	70	1
71	71	1
72	72	1
