companyName,companyMajor,companyWorkAuth,companyPositionType,companyDetailLink,companyDetailLink-href,companyDetailDescription,companyDetailIndustry,companyDetailAddress,companyDetailWebsite,companyDetailWebsite-href,Top CareerFair,Top CareerFair-href
"Matrix Technologies, Inc.","Electrical Engineering, Mechanical Engineering, Electrical and Computer Engineering","US Citizen, Permanent Resident","Internship/Externship, Full Time, Co-op","Matrix Technologies, Inc.","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=255d0eda2cadea6ca4ba9becd5411629&cf=22150c6f3db26ad0c3d2c765c59eef31&cfc=694510576a0197dcc2118cd41162bae0&sss=","Matrix Technologies, Inc., established in 1980, has annual sales in excess of $40 million, nearly 300 employees, and supports customers around the world. Matrix Technologies’ corporate headquarters is in Maumee, Ohio (Toledo area); with regional offices in Indianapolis,Denver, Kansas City, and Minneapolis. With over 30 years of experience in the industrial marketplace, Matrix has achieved a well-respected position as a leader in control systems, and process and facilities engineering services.  Our varied industry experience offers a wide range of complementary services to our clients. We have the mission to provide effective management expertise for our projects. Emphasis is on communication with all team members, meeting customers’ scheduling requirements and compliance with budget.","Consulting, Engineering - Biomedical, Engineering - Chemical, Engineering - Civil, Engineering - Computer, Engineering - Electrical, Engineering - Mechanical","1760 Indian Wood Circle
Maumee, OH
43537","Website","http://www.matrixti.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"ArcelorMittal USA","Computer Science, Chemical Engineering, Civil Engineering, Mechanical Engineering, Software Engineering","US Citizen, Permanent Resident","Internship/Externship, Full Time","ArcelorMittal USA","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=56569f7c82e0ccb8d41068c8bea2b2c4&cf=9dbea93e9053cace2b29b3702513bce3&cfc=694510576a0197dcc2118cd41162bae0&sss=","ArcelorMittal is the world's leading steel and mining company. Guided by a philosophy to produce safe, sustainable steel, it is the leading supplier of quality steel products in all major markets including automotive, construction, household appliances and packaging. ArcelorMittal operates in 60 countries and employs about 232,000 people worldwide.","Manufacturing","1 S. Dearborn St., 19th Floor
Chicago, IL
60603","Website","http://www.workforarcelormittal.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"NSWC Crane","All Majors","US Citizen","Internship/Externship","NSWC Crane","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=8a6f55a172dad53cafcdec373b045f11&cf=14907038deb3bdc4169cc171b42d6bc9&cfc=694510576a0197dcc2118cd41162bae0&sss=","Provide acquisition engineering, in-service engineering and technical support for SENSORS, ELECTRONICS, ELECTRONIC WARFARE and SPECIAL WARFARE WEAPONS. Apply component and system level product and industrial engineering to surface sensors, strategic systems, special warfare devices and electronic warfare/information operations systems. Execute other responsibilities as assigned by the Commander, Naval Surface Warfare Center.","Chemistry, Computer Science/Software Engineering, Engineering - Chemical, Engineering - Computer, Engineering - Electrical, Engineering - Mechanical, Engineering - Optics","300 HWY 361 


Crane, IN
47522 United States","Website","http://www.navsea.navy.mil/nswc/crane/default.aspx","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Performance Validation, LLC","Chemical Engineering, Mechanical Engineering, Biomedical Engineering","US Citizen","","Performance Validation, LLC","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=68bd8658728a7702ecb93fc9228eafba&cf=ef77df5dfc569dcfbf8d798cb3f3b46c&cfc=694510576a0197dcc2118cd41162bae0&sss=","Performance Validation has been serving the life science industries since 1988, and is a nationwide leader in providing validation, commissioning, and quality consulting services for pharmaceutical, biotechnology, and medical device manufacturers.   We live by our Mission, which is to provide our clients with peace of mind, and we have been doing so for more than 25 years.  PV is headquartered in Indianapolis, with offices in Kalamazoo, MI; Chicago; and Augusta, GA.","Biology","5420 W Southern Ave, Suite 100
Indianapolis, IN
46241 United States","Website","http://www.perfval.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Epic","Math, Computer Science, Biology, Chemical Engineering, Chemistry, Electrical Engineering, Mechanical Engineering, Computer Engineering, Biomedical Engineering, Physics, Software Engineering, Engineering Physics, Electrical and Computer Engineering, Computational Science","US Citizen, Permanent Resident, H-1 Visa, F-1 Student Visa","Internship/Externship, Full Time","Epic","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=923e9f8a471d38a29bd081d2954799ad&cf=6afb8eda8ee84aea73cd14b3e26d8fce&cfc=694510576a0197dcc2118cd41162bae0&sss=","As a worldwide leader in the development of software for healthcare organizations, Epic is driving change for an entire industry – one that affects the quality of life for everyone.  Our team works with some of the nation’s most respected healthcare organizations and collaborates with the best minds in medicine. The challenges we tackle on a day-to-day basis impact the lives of more than 180 million patients worldwide and 279,000 providers in the US alone, and we’re committed to the common goal of improving healthcare. We're searching for smart, passionate people who want to achieve great things.  If you want to be part of something truly important, consider a career at Epic.","Computer Science/Software Engineering, Engineering - Computer, Healthcare","1979 Milky Way
Verona, WI
53593","Website","http://www.epic.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Brinkmann Constructors","Civil Engineering","","Internship/Externship, Full Time, Co-op","Brinkmann Constructors","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=715f1d8c656ddd2e9184b60bc99cd348&cf=fe99c52c05f82cd98884e57159ca90a8&cfc=694510576a0197dcc2118cd41162bae0&sss=","Founded in 1984, Brinkmann Constructors serves clients in a variety of roles while delivering outstanding projects nationwide under multiple delivery methods across nearly every market sector. Brinkmann Constructors' revenues have grown to more than $300M. Brinkmann is headquartered in St. Louis, MO, with a regional division in Denver, CO. Brinkmann is ranked among the Top 400 Contractors by ENR.","Construction","16650 Chesterfield Grove Road, Suite 100
Chesterfield, MO
63005","Website","http://www.askbrinkmann.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Caterpillar Inc.","Computer Science, Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Physics, Engineering Physics, Electrical and Computer Engineering","US Citizen, Permanent Resident","Internship/Externship, Full Time","Caterpillar Inc.","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=0db5c2d6010242d76db9d82f469fd2f6&cf=85a54944dd9b6a308ede402af60211be&cfc=694510576a0197dcc2118cd41162bae0&sss=","For 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent. Customers turn to Caterpillar to help them develop infrastructure, energy and natural resource assets. With 2014 sales and revenues of $55.184 billion, Caterpillar is the world’s leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The company principally operates through its three product segments - Resource Industries, Construction Industries and Power Systems - and also provides financing and related services through its Financial Products segment. For more information, visit caterpillar.com. To connect with us on social media, visit caterpillar.com/social-media.","Manufacturing","Lafayette Engine Center, 3701 State Road 26 East
Lafayette, IN
47905","Website","http://www.caterpillar.com/careers/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"ARCO National Construction","Civil Engineering","US Citizen, Permanent Resident","Internship/Externship, Full Time, Co-op","ARCO National Construction","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=4676c3c4eb9b8c9d8764a7c67e011002&cf=347f322129e2972d0cad21351a78f6d6&cfc=694510576a0197dcc2118cd41162bae0&sss=","ARCO has become a leader in the design/build industry with offices in 10 major markets. As the 34th largest design/build general contractor, ARCO offers the strength and presence of a national builder with the personalized attention of a small company. As a Project Manager at ARCO, you will be given the opportunity to quarterback a project from concept to completion within your first 2 years. There is no limit to what a PM can achieve at ARCO, and that’s what makes the possibilities here truly unique.","Engineering - Electrical","10640 Deme Drive, Suite M
Indianapolis, IN
46236","Website","http://www.inpwrinc.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Blackboard Inc.","","","","Blackboard Inc.","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=f461f18c861bd1f3fd54aca3eef0b05b&cf=3d765a49616521861d9100c8c9a223e5&cfc=694510576a0197dcc2118cd41162bae0&sss=","Blackboard helps shape the future of education by delivering technology and services solutions that transform the learning experience.  We continually innovate to better enable educators, parents, and learners of all types to teach, learn, connect and communicate whenever they want and wherever they are.  We partner with educational institutions globally in the higher education, K-12 and professional education markets to improve the education experience both inside and outside the classroom by facilitating access to information, enabling stronger student engagement and collaboration, enhancing communication, and supporting student safety, success and institutional effectiveness.  Most importantly, we help every student achieve their full potential through access to lifelong learning.","Computer Science/Software Engineering","650 Massachusetts Ave, NW
Washington, DC
20001","Website","http://www.blackboard.com/Company/Career-Center.aspx","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
"Ascendant Engineering Solutions","","US Citizen, Permanent Resident","Internship/Externship","Ascendant Engineering Solutions","https://rose-hulman-csm.symplicity.com/students/index.php?s=employers&ss=employers&mode=profile&id=a76e614668074a17dede12104a647ae4&cf=5a7ef3eed3f16c14b30d48a9b4465b54&cfc=694510576a0197dcc2118cd41162bae0&sss=","AES is an engineering consulting company, located in Austin, Texas.  Our staff of ~30 engineers helps other companies bring their products to market, primarily by providing design expertise.  We employ a mix of electrical, software, mechanical and systems engineers.  Our customers range from Fortune 500 corporations to local entrepreneurs.  We develop cutting-edge technology for a wide variety of commercial and military applications.","Consulting","12303 Technology Blvd., Suite 925
Austin, TX
78727","Website","http://www.aesaustin.com/","2015 Fall Career Fair","https://rose-hulman-csm.symplicity.com/students/index.php?_ksl=1&s=event&ss=cf&mode=form&id=694510576a0197dcc2118cd41162bae0"
